ReportingArea,MMWRYear,MMWRWeek,IPD_all,IPD_u5,IPD_o5,School,sub_region_1,mmwr_week,7dayavg_retail_rec,7dayavg_grocery,7dayavg_parks,7dayavg_transit,7dayavg_work,7dayavg_res
SOUTH DAKOTA,2018,6,1,0,1,0,,,,,,,,
TENNESSEE,2018,6,7,0,7,0,,,,,,,,
TEXAS,2018,6,62,4,58,0,,,,,,,,
UNITED STATES,2018,6,250,14,236,0,,,,,,,,
UTAH,2018,6,2,0,2,0,,,,,,,,
VERMONT,2018,6,0,0,0,0,,,,,,,,
VIRGIN ISL.,2018,6,0,0,0,0,,,,,,,,
VIRGINIA,2018,6,0,0,0,0,,,,,,,,
W.N. CENTRAL,2018,6,19,2,17,0,,,,,,,,
W.S. CENTRAL,2018,6,75,4,71,0,,,,,,,,
WASHINGTON,2018,6,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,6,2,0,2,0,,,,,,,,
WISCONSIN,2018,6,6,0,6,0,,,,,,,,
WYOMING,2018,6,0,0,0,0,,,,,,,,
ALABAMA,2018,7,2,0,2,0,,,,,,,,
ALASKA,2018,7,0,0,0,0,,,,,,,,
AMER. SAMOA,2018,7,0,0,0,0,,,,,,,,
ARIZONA,2018,7,25,1,24,0,,,,,,,,
ARKANSAS,2018,7,13,1,12,0,,,,,,,,
C.N.M.I.,2018,7,0,0,0,0,,,,,,,,
CALIFORNIA,2018,7,0,0,0,0,,,,,,,,
COLORADO,2018,7,0,0,0,0,,,,,,,,
CONNECTICUT,2018,7,0,0,0,0,,,,,,,,
DELAWARE,2018,7,0,0,0,0,,,,,,,,
DIST. OF COL.,2018,7,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,7,36,3,33,0,,,,,,,,
E.S. CENTRAL,2018,7,19,0,19,0,,,,,,,,
FLORIDA,2018,7,24,2,22,0,,,,,,,,
GEORGIA,2018,7,24,0,24,0,,,,,,,,
GUAM,2018,7,0,0,0,0,,,,,,,,
HAWAII,2018,7,0,0,0,0,,,,,,,,
IDAHO,2018,7,0,0,0,0,,,,,,,,
ILLINOIS,2018,7,0,0,0,0,,,,,,,,
INDIANA,2018,7,2,0,2,0,,,,,,,,
IOWA,2018,7,0,0,0,0,,,,,,,,
KANSAS,2018,7,0,0,0,0,,,,,,,,
KENTUCKY,2018,7,0,0,0,0,,,,,,,,
LOUISIANA,2018,7,20,3,17,0,,,,,,,,
MAINE,2018,7,2,0,2,0,,,,,,,,
MARYLAND,2018,7,8,1,7,0,,,,,,,,
MASSACHUSETTS,2018,7,8,1,7,0,,,,,,,,
MICHIGAN,2018,7,3,0,3,0,,,,,,,,
MID. ATLANTIC,2018,7,36,0,36,0,,,,,,,,
MINNESOTA,2018,7,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,7,0,0,0,0,,,,,,,,
MISSOURI,2018,7,5,0,5,0,,,,,,,,
MONTANA,2018,7,0,0,0,0,,,,,,,,
MOUNTAIN,2018,7,31,2,29,0,,,,,,,,
NEBRASKA,2018,7,2,0,2,0,,,,,,,,
NEVADA,2018,7,0,0,0,0,,,,,,,,
NEW ENGLAND,2018,7,11,1,10,0,,,,,,,,
NEW HAMPSHIRE,2018,7,0,0,0,0,,,,,,,,
NEW JERSEY,2018,7,1,0,1,0,,,,,,,,
NEW MEXICO,2018,7,4,1,3,0,,,,,,,,
NEW YORK,2018,7,31,0,31,0,,,,,,,,
NEW YORK CITY,2018,7,0,0,0,0,,,,,,,,
NORTH CAROLINA,2018,7,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,7,0,0,0,0,,,,,,,,
OHIO,2018,7,31,3,28,0,,,,,,,,
OKLAHOMA,2018,7,0,1,0,0,,,,,,,,
OREGON,2018,7,0,0,0,0,,,,,,,,
PACIFIC,2018,7,0,0,0,0,,,,,,,,
PENNSYLVANIA,2018,7,4,0,4,0,,,,,,,,
PUERTO RICO,2018,7,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,7,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,7,59,3,56,0,,,,,,,,
SOUTH CAROLINA,2018,7,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,7,1,0,1,0,,,,,,,,
TENNESSEE,2018,7,17,0,17,0,,,,,,,,
TEXAS,2018,7,53,3,50,0,,,,,,,,
UNITED STATES,2018,7,286,17,269,0,,,,,,,,
UTAH,2018,7,2,0,2,0,,,,,,,,
VERMONT,2018,7,1,0,1,0,,,,,,,,
VIRGIN ISL.,2018,7,0,0,0,0,,,,,,,,
VIRGINIA,2018,7,0,0,0,0,,,,,,,,
W.N. CENTRAL,2018,7,8,0,8,0,,,,,,,,
W.S. CENTRAL,2018,7,86,8,78,0,,,,,,,,
WASHINGTON,2018,7,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,7,3,0,3,0,,,,,,,,
WISCONSIN,2018,7,0,0,0,0,,,,,,,,
WYOMING,2018,7,0,0,0,0,,,,,,,,
ALABAMA,2018,8,0,0,0,0,,,,,,,,
ALASKA,2018,8,0,0,0,0,,,,,,,,
AMER. SAMOA,2018,8,0,0,0,0,,,,,,,,
ARIZONA,2018,8,31,2,29,0,,,,,,,,
ARKANSAS,2018,8,0,0,0,0,,,,,,,,
C.N.M.I.,2018,8,0,0,0,0,,,,,,,,
CALIFORNIA,2018,8,0,0,0,0,,,,,,,,
COLORADO,2018,8,0,0,0,0,,,,,,,,
CONNECTICUT,2018,8,0,0,0,0,,,,,,,,
DELAWARE,2018,8,0,0,0,0,,,,,,,,
DIST. OF COL.,2018,8,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,8,48,2,46,0,,,,,,,,
E.S. CENTRAL,2018,8,6,0,6,0,,,,,,,,
FLORIDA,2018,8,15,3,12,0,,,,,,,,
GEORGIA,2018,8,15,0,15,0,,,,,,,,
GUAM,2018,8,0,0,0,0,,,,,,,,
HAWAII,2018,8,0,0,0,0,,,,,,,,
IDAHO,2018,8,0,0,0,0,,,,,,,,
ILLINOIS,2018,8,0,0,0,0,,,,,,,,
INDIANA,2018,8,0,0,0,0,,,,,,,,
IOWA,2018,8,0,0,0,0,,,,,,,,
KANSAS,2018,8,4,1,3,0,,,,,,,,
KENTUCKY,2018,8,0,0,0,0,,,,,,,,
LOUISIANA,2018,8,0,0,0,0,,,,,,,,
MAINE,2018,8,0,0,0,0,,,,,,,,
MARYLAND,2018,8,0,0,0,0,,,,,,,,
MASSACHUSETTS,2018,8,0,0,0,0,,,,,,,,
MICHIGAN,2018,8,2,0,2,0,,,,,,,,
MID. ATLANTIC,2018,8,59,0,59,0,,,,,,,,
MINNESOTA,2018,8,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,8,6,0,6,0,,,,,,,,
MISSOURI,2018,8,10,0,10,0,,,,,,,,
MONTANA,2018,8,0,0,0,0,,,,,,,,
MOUNTAIN,2018,8,32,2,30,0,,,,,,,,
NEBRASKA,2018,8,0,0,0,0,,,,,,,,
NEVADA,2018,8,0,0,0,0,,,,,,,,
NEW ENGLAND,2018,8,0,0,0,0,,,,,,,,
NEW HAMPSHIRE,2018,8,0,0,0,0,,,,,,,,
NEW JERSEY,2018,8,5,0,5,0,,,,,,,,
NEW MEXICO,2018,8,0,0,0,0,,,,,,,,
NEW YORK,2018,8,25,0,25,0,,,,,,,,
NEW YORK CITY,2018,8,21,0,21,0,,,,,,,,
NORTH CAROLINA,2018,8,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,8,1,0,1,0,,,,,,,,
OHIO,2018,8,42,0,42,0,,,,,,,,
OKLAHOMA,2018,8,0,0,0,0,,,,,,,,
OREGON,2018,8,0,0,0,0,,,,,,,,
PACIFIC,2018,8,0,0,0,0,,,,,,,,
PENNSYLVANIA,2018,8,8,0,8,0,,,,,,,,
PUERTO RICO,2018,8,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,8,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,8,30,3,27,0,,,,,,,,
SOUTH CAROLINA,2018,8,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,8,2,0,2,0,,,,,,,,
TENNESSEE,2018,8,0,0,0,0,,,,,,,,
TEXAS,2018,8,0,0,0,0,,,,,,,,
UNITED STATES,2018,8,192,8,184,0,,,,,,,,
UTAH,2018,8,1,0,1,0,,,,,,,,
VERMONT,2018,8,0,0,0,0,,,,,,,,
VIRGIN ISL.,2018,8,0,0,0,0,,,,,,,,
VIRGINIA,2018,8,0,0,0,0,,,,,,,,
W.N. CENTRAL,2018,8,17,1,16,0,,,,,,,,
W.S. CENTRAL,2018,8,0,0,0,0,,,,,,,,
WASHINGTON,2018,8,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,8,0,0,0,0,,,,,,,,
WISCONSIN,2018,8,4,2,2,0,,,,,,,,
WYOMING,2018,8,0,0,0,0,,,,,,,,
ALABAMA,2018,9,1,0,1,0,,,,,,,,
ALASKA,2018,9,2,0,2,0,,,,,,,,
AMER. SAMOA,2018,9,0,0,0,0,,,,,,,,
ARIZONA,2018,9,0,0,0,0,,,,,,,,
ARKANSAS,2018,9,5,1,4,0,,,,,,,,
C.N.M.I.,2018,9,0,0,0,0,,,,,,,,
CALIFORNIA,2018,9,0,0,0,0,,,,,,,,
COLORADO,2018,9,0,0,0,0,,,,,,,,
CONNECTICUT,2018,9,0,0,0,0,,,,,,,,
DELAWARE,2018,9,0,0,0,0,,,,,,,,
DIST. OF COL.,2018,9,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,9,47,4,43,0,,,,,,,,
E.S. CENTRAL,2018,9,28,2,26,0,,,,,,,,
FLORIDA,2018,9,23,0,23,0,,,,,,,,
GEORGIA,2018,9,0,0,0,0,,,,,,,,
GUAM,2018,9,0,0,0,0,,,,,,,,
HAWAII,2018,9,0,0,0,0,,,,,,,,
IDAHO,2018,9,0,0,0,0,,,,,,,,
ILLINOIS,2018,9,0,0,0,0,,,,,,,,
INDIANA,2018,9,0,0,0,0,,,,,,,,
IOWA,2018,9,0,0,0,0,,,,,,,,
KANSAS,2018,9,0,0,0,0,,,,,,,,
KENTUCKY,2018,9,3,0,3,0,,,,,,,,
LOUISIANA,2018,9,8,0,8,0,,,,,,,,
MAINE,2018,9,3,0,3,0,,,,,,,,
MARYLAND,2018,9,9,0,9,0,,,,,,,,
MASSACHUSETTS,2018,9,0,0,0,0,,,,,,,,
MICHIGAN,2018,9,1,0,1,0,,,,,,,,
MID. ATLANTIC,2018,9,47,0,47,0,,,,,,,,
MINNESOTA,2018,9,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,9,6,0,6,0,,,,,,,,
MISSOURI,2018,9,11,1,10,0,,,,,,,,
MONTANA,2018,9,1,0,1,0,,,,,,,,
MOUNTAIN,2018,9,9,1,8,0,,,,,,,,
NEBRASKA,2018,9,8,1,7,0,,,,,,,,
NEVADA,2018,9,1,0,1,0,,,,,,,,
NEW ENGLAND,2018,9,4,0,4,0,,,,,,,,
NEW HAMPSHIRE,2018,9,0,0,0,0,,,,,,,,
NEW JERSEY,2018,9,5,0,5,0,,,,,,,,
NEW MEXICO,2018,9,5,0,5,0,,,,,,,,
NEW YORK,2018,9,20,0,20,0,,,,,,,,
NEW YORK CITY,2018,9,14,0,14,0,,,,,,,,
NORTH CAROLINA,2018,9,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,9,0,0,0,0,,,,,,,,
OHIO,2018,9,38,4,34,0,,,,,,,,
OKLAHOMA,2018,9,0,0,0,0,,,,,,,,
OREGON,2018,9,0,0,0,0,,,,,,,,
PACIFIC,2018,9,2,0,2,0,,,,,,,,
PENNSYLVANIA,2018,9,8,0,8,0,,,,,,,,
PUERTO RICO,2018,9,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,9,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,9,33,1,32,0,,,,,,,,
SOUTH CAROLINA,2018,9,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,9,0,0,0,0,,,,,,,,
TENNESSEE,2018,9,18,2,16,0,,,,,,,,
TEXAS,2018,9,50,0,50,0,,,,,,,,
UNITED STATES,2018,9,252,11,241,0,,,,,,,,
UTAH,2018,9,2,1,1,0,,,,,,,,
VERMONT,2018,9,1,0,1,0,,,,,,,,
VIRGIN ISL.,2018,9,0,0,0,0,,,,,,,,
VIRGINIA,2018,9,1,1,0,0,,,,,,,,
W.N. CENTRAL,2018,9,19,2,17,0,,,,,,,,
W.S. CENTRAL,2018,9,63,1,62,0,,,,,,,,
WASHINGTON,2018,9,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,9,0,0,0,0,,,,,,,,
WISCONSIN,2018,9,8,0,8,0,,,,,,,,
WYOMING,2018,9,0,0,0,0,,,,,,,,
ALABAMA,2018,10,2,1,1,0,,,,,,,,
ALASKA,2018,10,0,0,0,0,,,,,,,,
AMER. SAMOA,2018,10,0,0,0,0,,,,,,,,
ARIZONA,2018,10,21,1,20,0,,,,,,,,
ARKANSAS,2018,10,11,0,11,0,,,,,,,,
C.N.M.I.,2018,10,0,0,0,0,,,,,,,,
CALIFORNIA,2018,10,0,0,0,0,,,,,,,,
COLORADO,2018,10,0,0,0,0,,,,,,,,
CONNECTICUT,2018,10,0,0,0,0,,,,,,,,
DELAWARE,2018,10,0,0,0,0,,,,,,,,
DIST. OF COL.,2018,10,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,10,3,0,3,0,,,,,,,,
E.S. CENTRAL,2018,10,14,3,11,0,,,,,,,,
FLORIDA,2018,10,14,2,12,0,,,,,,,,
GEORGIA,2018,10,5,0,5,0,,,,,,,,
GUAM,2018,10,0,0,0,0,,,,,,,,
HAWAII,2018,10,0,0,0,0,,,,,,,,
IDAHO,2018,10,0,0,0,0,,,,,,,,
ILLINOIS,2018,10,0,0,0,0,,,,,,,,
INDIANA,2018,10,2,0,2,0,,,,,,,,
IOWA,2018,10,0,0,0,0,,,,,,,,
KANSAS,2018,10,0,0,0,0,,,,,,,,
KENTUCKY,2018,10,0,0,0,0,,,,,,,,
LOUISIANA,2018,10,10,0,10,0,,,,,,,,
MAINE,2018,10,2,0,2,0,,,,,,,,
MARYLAND,2018,10,10,0,10,0,,,,,,,,
MASSACHUSETTS,2018,10,0,0,0,0,,,,,,,,
MICHIGAN,2018,10,1,0,1,0,,,,,,,,
MID. ATLANTIC,2018,10,60,5,55,0,,,,,,,,
MINNESOTA,2018,10,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,10,0,0,0,0,,,,,,,,
MISSOURI,2018,10,8,3,5,0,,,,,,,,
MONTANA,2018,10,4,0,4,0,,,,,,,,
MOUNTAIN,2018,10,31,2,29,0,,,,,,,,
NEBRASKA,2018,10,3,1,2,0,,,,,,,,
NEVADA,2018,10,1,0,1,0,,,,,,,,
NEW ENGLAND,2018,10,2,0,2,0,,,,,,,,
NEW HAMPSHIRE,2018,10,0,0,0,0,,,,,,,,
NEW JERSEY,2018,10,2,0,2,0,,,,,,,,
NEW MEXICO,2018,10,5,1,4,0,,,,,,,,
NEW YORK,2018,10,37,3,34,0,,,,,,,,
NEW YORK CITY,2018,10,13,0,13,0,,,,,,,,
NORTH CAROLINA,2018,10,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,10,0,0,0,0,,,,,,,,
OHIO,2018,10,0,0,0,0,,,,,,,,
OKLAHOMA,2018,10,0,0,0,0,,,,,,,,
OREGON,2018,10,0,0,0,0,,,,,,,,
PACIFIC,2018,10,0,0,0,0,,,,,,,,
PENNSYLVANIA,2018,10,8,2,6,0,,,,,,,,
PUERTO RICO,2018,10,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,10,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,10,29,2,27,0,,,,,,,,
SOUTH CAROLINA,2018,10,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,10,2,0,2,0,,,,,,,,
TENNESSEE,2018,10,12,2,10,0,,,,,,,,
TEXAS,2018,10,39,0,39,0,,,,,,,,
UNITED STATES,2018,10,212,16,196,0,,,,,,,,
UTAH,2018,10,0,0,0,0,,,,,,,,
VERMONT,2018,10,0,0,0,0,,,,,,,,
VIRGIN ISL.,2018,10,0,0,0,0,,,,,,,,
VIRGINIA,2018,10,0,0,0,0,,,,,,,,
W.N. CENTRAL,2018,10,13,4,9,0,,,,,,,,
W.S. CENTRAL,2018,10,60,0,60,0,,,,,,,,
WASHINGTON,2018,10,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,10,0,0,0,0,,,,,,,,
WISCONSIN,2018,10,0,0,0,0,,,,,,,,
WYOMING,2018,10,0,0,0,0,,,,,,,,
ALABAMA,2018,11,2,0,2,0,,,,,,,,
ALASKA,2018,11,2,1,1,0,,,,,,,,
AMER. SAMOA,2018,11,0,0,0,0,,,,,,,,
ARIZONA,2018,11,16,4,12,0,,,,,,,,
ARKANSAS,2018,11,14,1,13,0,,,,,,,,
C.N.M.I.,2018,11,0,0,0,0,,,,,,,,
CALIFORNIA,2018,11,0,0,0,0,,,,,,,,
COLORADO,2018,11,0,0,0,0,,,,,,,,
CONNECTICUT,2018,11,0,0,0,0,,,,,,,,
DELAWARE,2018,11,0,0,0,0,,,,,,,,
DIST. OF COL.,2018,11,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,11,26,3,23,0,,,,,,,,
E.S. CENTRAL,2018,11,13,0,13,0,,,,,,,,
FLORIDA,2018,11,9,0,9,0,,,,,,,,
GEORGIA,2018,11,0,0,0,0,,,,,,,,
GUAM,2018,11,0,0,0,0,,,,,,,,
HAWAII,2018,11,0,0,0,0,,,,,,,,
IDAHO,2018,11,0,0,0,0,,,,,,,,
ILLINOIS,2018,11,0,0,0,0,,,,,,,,
INDIANA,2018,11,0,0,0,0,,,,,,,,
IOWA,2018,11,0,0,0,0,,,,,,,,
KANSAS,2018,11,0,0,0,0,,,,,,,,
KENTUCKY,2018,11,9,0,9,0,,,,,,,,
LOUISIANA,2018,11,10,0,10,0,,,,,,,,
MAINE,2018,11,3,0,3,0,,,,,,,,
MARYLAND,2018,11,15,0,15,0,,,,,,,,
MASSACHUSETTS,2018,11,0,0,0,0,,,,,,,,
MICHIGAN,2018,11,1,0,1,0,,,,,,,,
MID. ATLANTIC,2018,11,53,0,53,0,,,,,,,,
MINNESOTA,2018,11,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,11,1,0,1,0,,,,,,,,
MISSOURI,2018,11,9,1,8,0,,,,,,,,
MONTANA,2018,11,3,1,2,0,,,,,,,,
MOUNTAIN,2018,11,22,5,17,0,,,,,,,,
NEBRASKA,2018,11,4,1,3,0,,,,,,,,
NEVADA,2018,11,0,0,0,0,,,,,,,,
NEW ENGLAND,2018,11,6,0,6,0,,,,,,,,
NEW HAMPSHIRE,2018,11,0,0,0,0,,,,,,,,
NEW JERSEY,2018,11,2,0,2,0,,,,,,,,
NEW MEXICO,2018,11,2,0,2,0,,,,,,,,
NEW YORK,2018,11,31,0,31,0,,,,,,,,
NEW YORK CITY,2018,11,17,0,17,0,,,,,,,,
NORTH CAROLINA,2018,11,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,11,0,0,0,0,,,,,,,,
OHIO,2018,11,20,2,18,0,,,,,,,,
OKLAHOMA,2018,11,0,1,0,0,,,,,,,,
OREGON,2018,11,0,0,0,0,,,,,,,,
PACIFIC,2018,11,2,1,1,0,,,,,,,,
PENNSYLVANIA,2018,11,3,0,3,0,,,,,,,,
PUERTO RICO,2018,11,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,11,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,11,24,0,24,0,,,,,,,,
SOUTH CAROLINA,2018,11,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,11,2,0,2,0,,,,,,,,
TENNESSEE,2018,11,1,0,1,0,,,,,,,,
TEXAS,2018,11,42,5,37,0,,,,,,,,
UNITED STATES,2018,11,227,18,209,0,,,,,,,,
UTAH,2018,11,0,0,0,0,,,,,,,,
VERMONT,2018,11,3,0,3,0,,,,,,,,
VIRGIN ISL.,2018,11,0,0,0,0,,,,,,,,
VIRGINIA,2018,11,0,0,0,0,,,,,,,,
W.N. CENTRAL,2018,11,15,2,13,0,,,,,,,,
W.S. CENTRAL,2018,11,66,7,59,0,,,,,,,,
WASHINGTON,2018,11,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,11,0,0,0,0,,,,,,,,
WISCONSIN,2018,11,5,1,4,0,,,,,,,,
WYOMING,2018,11,1,0,1,0,,,,,,,,
ALABAMA,2018,12,0,0,0,0,,,,,,,,
ALASKA,2018,12,0,0,0,0,,,,,,,,
AMER. SAMOA,2018,12,0,0,0,0,,,,,,,,
ARIZONA,2018,12,28,0,28,0,,,,,,,,
ARKANSAS,2018,12,12,0,12,0,,,,,,,,
C.N.M.I.,2018,12,0,0,0,0,,,,,,,,
CALIFORNIA,2018,12,0,0,0,0,,,,,,,,
COLORADO,2018,12,0,0,0,0,,,,,,,,
CONNECTICUT,2018,12,0,0,0,0,,,,,,,,
DELAWARE,2018,12,0,0,0,0,,,,,,,,
DIST. OF COL.,2018,12,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,12,30,1,29,0,,,,,,,,
E.S. CENTRAL,2018,12,7,1,6,0,,,,,,,,
FLORIDA,2018,12,24,2,22,0,,,,,,,,
GEORGIA,2018,12,9,1,8,0,,,,,,,,
GUAM,2018,12,0,0,0,0,,,,,,,,
HAWAII,2018,12,0,0,0,0,,,,,,,,
IDAHO,2018,12,0,0,0,0,,,,,,,,
ILLINOIS,2018,12,0,0,0,0,,,,,,,,
INDIANA,2018,12,0,0,0,0,,,,,,,,
IOWA,2018,12,0,0,0,0,,,,,,,,
KANSAS,2018,12,0,0,0,0,,,,,,,,
KENTUCKY,2018,12,0,0,0,0,,,,,,,,
LOUISIANA,2018,12,0,0,0,0,,,,,,,,
MAINE,2018,12,1,0,1,0,,,,,,,,
MARYLAND,2018,12,6,0,6,0,,,,,,,,
MASSACHUSETTS,2018,12,7,0,7,0,,,,,,,,
MICHIGAN,2018,12,0,0,0,0,,,,,,,,
MID. ATLANTIC,2018,12,47,3,44,0,,,,,,,,
MINNESOTA,2018,12,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,12,4,1,3,0,,,,,,,,
MISSOURI,2018,12,13,0,13,0,,,,,,,,
MONTANA,2018,12,1,0,1,0,,,,,,,,
MOUNTAIN,2018,12,31,0,31,0,,,,,,,,
NEBRASKA,2018,12,4,0,4,0,,,,,,,,
NEVADA,2018,12,1,0,1,0,,,,,,,,
NEW ENGLAND,2018,12,8,0,8,0,,,,,,,,
NEW HAMPSHIRE,2018,12,0,0,0,0,,,,,,,,
NEW JERSEY,2018,12,3,0,3,0,,,,,,,,
NEW MEXICO,2018,12,1,0,1,0,,,,,,,,
NEW YORK,2018,12,24,2,22,0,,,,,,,,
NEW YORK CITY,2018,12,16,0,16,0,,,,,,,,
NORTH CAROLINA,2018,12,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,12,0,0,0,0,,,,,,,,
OHIO,2018,12,28,1,27,0,,,,,,,,
OKLAHOMA,2018,12,0,0,0,0,,,,,,,,
OREGON,2018,12,0,0,0,0,,,,,,,,
PACIFIC,2018,12,0,0,0,0,,,,,,,,
PENNSYLVANIA,2018,12,4,1,3,0,,,,,,,,
PUERTO RICO,2018,12,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,12,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,12,39,3,36,0,,,,,,,,
SOUTH CAROLINA,2018,12,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,12,0,0,0,0,,,,,,,,
TENNESSEE,2018,12,3,0,3,0,,,,,,,,
TEXAS,2018,12,32,1,31,0,,,,,,,,
UNITED STATES,2018,12,223,9,214,0,,,,,,,,
UTAH,2018,12,0,0,0,0,,,,,,,,
VERMONT,2018,12,0,0,0,0,,,,,,,,
VIRGIN ISL.,2018,12,0,0,0,0,,,,,,,,
VIRGINIA,2018,12,0,0,0,0,,,,,,,,
W.N. CENTRAL,2018,12,17,0,17,0,,,,,,,,
W.S. CENTRAL,2018,12,44,1,43,0,,,,,,,,
WASHINGTON,2018,12,0,0,0,0,,,,,,,,
WEST VIRGINIA,2018,12,0,0,0,0,,,,,,,,
WISCONSIN,2018,12,2,0,2,0,,,,,,,,
WYOMING,2018,12,0,0,0,0,,,,,,,,
ALABAMA,2018,13,1,0,1,0,,,,,,,,
ALASKA,2018,13,6,0,6,0,,,,,,,,
AMER. SAMOA,2018,13,0,0,0,0,,,,,,,,
ARIZONA,2018,13,11,0,11,0,,,,,,,,
ARKANSAS,2018,13,4,0,4,0,,,,,,,,
C.N.M.I.,2018,13,0,0,0,0,,,,,,,,
CALIFORNIA,2018,13,0,0,0,0,,,,,,,,
COLORADO,2018,13,19,1,18,0,,,,,,,,
CONNECTICUT,2018,13,0,0,0,0,,,,,,,,
DELAWARE,2018,13,1,0,1,0,,,,,,,,
DIST. OF COL.,2018,13,0,0,0,0,,,,,,,,
E.N. CENTRAL,2018,13,33,2,31,0,,,,,,,,
E.S. CENTRAL,2018,13,13,0,13,0,,,,,,,,
FLORIDA,2018,13,17,3,14,0,,,,,,,,
GEORGIA,2018,13,9,0,9,0,,,,,,,,
GUAM,2018,13,0,0,0,0,,,,,,,,
HAWAII,2018,13,0,0,0,0,,,,,,,,
IDAHO,2018,13,0,0,0,0,,,,,,,,
ILLINOIS,2018,13,0,0,0,0,,,,,,,,
INDIANA,2018,13,0,0,0,0,,,,,,,,
IOWA,2018,13,0,0,0,0,,,,,,,,
KANSAS,2018,13,0,0,0,0,,,,,,,,
KENTUCKY,2018,13,3,0,3,0,,,,,,,,
LOUISIANA,2018,13,2,0,2,0,,,,,,,,
MAINE,2018,13,3,0,3,0,,,,,,,,
MARYLAND,2018,13,11,0,11,0,,,,,,,,
MASSACHUSETTS,2018,13,0,0,0,0,,,,,,,,
MICHIGAN,2018,13,0,0,0,0,,,,,,,,
MID. ATLANTIC,2018,13,30,0,30,0,,,,,,,,
MINNESOTA,2018,13,0,0,0,0,,,,,,,,
MISSISSIPPI,2018,13,5,0,5,0,,,,,,,,
MISSOURI,2018,13,7,0,7,0,,,,,,,,
MONTANA,2018,13,2,0,2,0,,,,,,,,
MOUNTAIN,2018,13,38,1,37,0,,,,,,,,
NEBRASKA,2018,13,5,0,5,0,,,,,,,,
NEVADA,2018,13,2,0,2,0,,,,,,,,
NEW ENGLAND,2018,13,3,0,3,0,,,,,,,,
NEW HAMPSHIRE,2018,13,0,0,0,0,,,,,,,,
NEW JERSEY,2018,13,0,0,0,0,,,,,,,,
NEW MEXICO,2018,13,4,0,4,0,,,,,,,,
NEW YORK,2018,13,14,0,14,0,,,,,,,,
NEW YORK CITY,2018,13,11,0,11,0,,,,,,,,
NORTH CAROLINA,2018,13,0,0,0,0,,,,,,,,
NORTH DAKOTA,2018,13,0,0,0,0,,,,,,,,
OHIO,2018,13,33,2,31,0,,,,,,,,
OKLAHOMA,2018,13,0,0,0,0,,,,,,,,
OREGON,2018,13,0,0,0,0,,,,,,,,
PACIFIC,2018,13,6,0,6,0,,,,,,,,
PENNSYLVANIA,2018,13,5,0,5,0,,,,,,,,
PUERTO RICO,2018,13,0,0,0,0,,,,,,,,
RHODE ISLAND,2018,13,0,0,0,0,,,,,,,,
S. ATLANTIC,2018,13,38,3,35,0,,,,,,,,
SOUTH CAROLINA,2018,13,0,0,0,0,,,,,,,,
SOUTH DAKOTA,2018,13,0,0,0,0,,,,,,,,
TENNESSEE,2018,13,4,0,4,0,,,,,,,,
TEXAS,2018,13,29,3,26,0,,,,,,,,
UNITED STATES,2018,13,208,9,199,0,,,,,,,,
UTAH,2018,13,0,0,0,0,,,,,,,,
